 , , , , , , , , , , , , , , , , , , , , , , 
دیده بان بازار : 1405/03/17 - زمان آخرین معامله : 10:26:05,,,,,,,,,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
جهرم,پتروشيمي جهرم,46,5577658,3654724951,649,637,661,12.00,1.85,655,6.00,0.92,637,661,-104,-6.3,1,59419,659,661,49254,1
صفولا65,صكوك اجاره فولاد65-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,7500,990000,1000000,7500,1
شصدف,صنعتي دوده فام,585,5961629,72173715030,12010,11950,12080,70.00,0.58,12110,100.00,0.83,11950,12280,2071,5.85,4,4405,12090,12120,30000,1
قيراط,صندوق س.كالاي درفش دماوند,0,0,0,32038,0,31978,-60.00,-0.19,32038,0,0,0,0,,,1,1208,31949,33000,10000,1
آس,صندوق س. گنجينه ارمغان الماس-س,154,1452310,18940451040,13053,12715,13400,347.00,2.66,13042,-11.00,-0.08,12715,13442,,,4,21100,13113,13399,41800,1
بتيس,بيمه زندگي ايساتيس,281,18329403,35904018531,1916,1916,1955,39.00,2.04,1959,43.00,2.24,1916,1973,459,4.27,3,122824,1955,1971,50000,1
غشهد,شهد ايران ‌,157,2990082,24977800840,8120,8350,8360,240.00,2.96,8350,230.00,2.83,8140,8360,1487,5.62,9,602201,8360,8420,610,1
كارما,صندوق س.درآمد ثابت كيهان-د,18,988697,18979184669,19172,19197,19196,24.00,0.13,19196,24.00,0.13,19196,19197,,,71,70169360,19196,19197,8842943,9
حآساح,ح.آسيا سير ارس,173,1893271,3428185650,1769,1718,1813,44.00,2.49,1811,42.00,2.37,1718,1822,,,2,3753,1813,1822,36445,7
خفناور,مهندسي صنعتي روان فن آور,15,30105,535567950,17280,17790,17790,510.00,2.95,17790,510.00,2.95,17790,17790,186,95.65,16,884435,17790,0,0,0
ولكار,ليزينگ كارآفرين,108,639513,2548932864,3951,3992,4030,79.00,2.00,3986,35.00,0.89,3900,4038,563,7.08,1,73172,4030,4032,3129,1
بتهران,بيمه اتكايي تهران رواك,10,1626900,4457706000,2661,2740,2740,79.00,2.97,2740,79.00,2.97,2740,2740,,,69,22854863,2740,0,0,0
اكتوور075,مرابحه اكتوور كو-پاداش070612,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
عغدير8,سلف آهن اسفنجي آهن وفولاد,0,0,0,2780000,0,2780000,0,0,2780000,0,0,0,0,,,1,19270,2780000,2835500,19270,1
كلوند,كاشي‌ الوند,64,6707141,32610119542,4721,4862,4862,141.00,2.99,4862,141.00,2.99,4862,4862,898,5.41,74,12888774,4862,0,0,0
كروميت,توسعه معادن كروميت كاوندگان,272,11386019,41990704479,3584,3650,3691,107.00,2.99,3688,104.00,2.90,3650,3691,207,17.82,47,5295353,3691,3782,2000,1
موج,ص.س.اهرمي موج فيروزه-س,268,2200345,95684202670,41814,43486,43486,"1,672.00",4.00,43486,"1,672.00",4.00,43486,43486,,,1281,57499390,43486,46234,100,1
گلچين07,مرابحه گلچين رسانه 14071028,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
طبيعت062,مرابحه طبيعت سبز-كيميا060710,0,0,0,971000,0,971000,0,0,971000,0,0,0,0,,,1,5000,999990,1000100,5000,1
اهرم,صندوق س سهامي كاريزما- اهرمي,1264,21990131,827906442019,36201,37649,37649,"1,448.00",4.00,37649,"1,448.00",4.00,37649,37649,,,1982,102625267,37649,39060,7152,1
آرمان,بيمه آرمان,43,4525226,8150638079,1837,1889,1789,-48.00,-2.61,1801,-36.00,-1.96,1783,1889,90,20.01,1,30000,1790,1845,60000,1
آباد,توريستي ورفاهي آبادگران ايران,241,20980145,15961934879,743,760,763,20.00,2.69,761,18.00,2.42,747,764,3,253.67,2,175000,759,764,806433,10
ولنوين,ليزينگ اقتصاد نوين,807,21103287,43279088215,2071,2013,2087,16.00,0.77,2051,-20.00,-0.97,2013,2126,304,6.75,1,47214,2087,2088,441,2
درپاد,گروه صنعتي درپاد تبريز,2087,3717029,37313876430,9750,10040,10040,290.00,2.97,10040,290.00,2.97,9830,10040,663,15.14,33,794239,10040,10090,96,1
خمحركه,نيرو محركه‌,35,1029405,4383206490,4134,4258,4258,124.00,3.00,4258,124.00,3.00,4258,4258,42,101.38,99,8570681,4258,0,0,0
رتاپ,تجارت الكترونيك  پارسيان,269,7137661,37353018640,5170,5160,5280,110.00,2.13,5230,60.00,1.16,5030,5300,592,8.83,8,215494,5240,5290,247700,6
صاميا051,صكوك مرابحه خزاميا051-3ماهه18%,0,0,0,1010000,0,1010000,0,0,1010000,0,0,0,0,,,1,10000,1003000,1012000,5000,1
مديريت,س. و خدمات مديريت صند. ب كشوري,180,1666851,5582820205,3260,3330,3351,91.00,2.79,3349,89.00,2.73,3273,3357,1217,2.75,1,1303,3351,3356,67541,4
لطيف,محصولات كاغذي لطيف,86,3831415,11344819815,2875,2961,2961,86.00,2.99,2961,86.00,2.99,2961,2961,239,12.39,59,20171623,2961,3063,61,1
آرين سلامت08,مرابحه آرين سلامت سينا080430,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
كحافظ,كاشي‌ وسراميك‌ حافظ‌,210,17236935,29251037211,1648,1697,1697,49.00,2.97,1697,49.00,2.97,1696,1697,323,5.25,98,16283574,1697,0,0,0
طب نوين05,مرابحه طب پلاستيك نوين14050814,0,0,0,1067500,0,1067500,0,0,1067500,0,0,0,0,,,1,5000,1050000,1070000,5000,1
كبافق,معادن‌ بافق‌,71,427898,12749528780,28940,29800,29800,860.00,2.97,29800,860.00,2.97,29070,29800,1694,17.59,52,445516,29800,30290,168,1
صلقما903,صكوك مرابحه دلقما903-3ماهه23%,0,0,0,763000,0,763000,0,0,763000,0,0,0,0,,,1,4000,763000,770000,50,1
فايرا,آلومينيوم‌ايران‌,24,361914,2931503400,7870,8100,8100,230.00,2.92,8100,230.00,2.92,8100,8100,879,9.22,959,114420800,8100,0,0,0
چدن,توليدي چدن سازان,245,17253650,37561196050,2114,2177,2177,63.00,2.98,2177,63.00,2.98,2177,2177,384,5.67,136,24412341,2177,0,0,0
حيات,بيمه زندگي مفيد,20,172677,1089448870,6130,6200,6310,180.00,2.94,6310,180.00,2.94,6200,6310,471,13.4,20,1238715,6310,0,0,0
همسنگ,صندوق س. شاخصي هم وزن همسنگ-س,704,29021812,361292952493,12090,12439,12452,362.00,2.99,12449,359.00,2.97,12330,12452,,,337,57580376,12452,12468,1028440,8
صاميا601,صكوك مرابحه خزاميا601-3ماهه18%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,12500,990000,1000000,12500,1
آبارا07,مرابحه صنايع پمپ آبارا070224,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
كاريس,صندوق س.سپند كاريزما-س,620,4634073,237292342038,49715,51206,51206,"1,491.00",3.00,51206,"1,491.00",3.00,51206,51206,,,782,12321966,51206,53320,1,1
شاروم,پتروشيمي اروميه,541,2885461,32600337880,10980,11210,11300,320.00,2.91,11300,320.00,2.91,11200,11300,1017,11.11,16,223875,11290,11300,77687,4
دلر,داروسازي‌ اكسير,99,4407408,51522599520,11350,11690,11690,340.00,3.00,11690,340.00,3.00,11690,11690,1681,6.95,667,60017610,11690,0,0,0
بنكوداريوش,صندوق س.بخشي داريوش3-ب,42,11459649,185120048893,15687,16157,16157,470.00,3.00,16154,467.00,2.98,16090,16157,,,30,23132112,16157,0,0,0
فيروزا,صندوق ارمغان فيروزه آسيا-ثابت,1517,46195321,3834085007741,82891,82997,82997,106.00,0.13,82997,106.00,0.13,82997,82998,,,7,902431650,82997,82998,39621227,3
فوكا,فولاد كاويان,15,1277686,3905886102,2968,3057,3057,89.00,3.00,3057,89.00,3.00,3057,3057,,,253,84357291,3057,0,0,0
ثابت اكسيژن,ص.س.درآمد ثابت اكسيژن-د,33,1120390,19961429297,17795,17816,17817,22.00,0.12,17816,21.00,0.12,17816,17817,,,1,39484466,17816,17817,19531437,1
سمگا,گروه سرمايه گذاري ميراث فرهنگي,312,22658761,63338937283,2715,2795,2796,81.00,2.98,2795,80.00,2.95,2769,2796,496,5.64,65,8538498,2796,2829,10000,1
خاور,ايران خودرو ديزل,212,35970342,42029023090,1135,1160,1169,34.00,3.00,1168,33.00,2.91,1160,1169,53,22.04,238,125000781,1169,1172,20000,1
عگهر3,سلف آهن اسفنجي توسعه گل گهر,0,0,0,2382330,0,2382330,0,0,2382330,0,0,0,0,,,1,41975,2628787,0,0,0
نطرين,عطرين نخ قم,29,1933453,6838623261,3434,3537,3537,103.00,3.00,3537,103.00,3.00,3537,3537,399,8.86,98,28085508,3537,0,0,0
خليج,صندوق س.گنجينه مينوخليج فارس-س,229,21795039,503947147131,22464,22880,23137,673.00,3.00,23122,658.00,2.93,22748,23137,,,38,12436623,23137,0,0,0
فروي,ذوب روي اصفهان,73,1967272,4935017909,2436,2509,2509,73.00,3.00,2509,73.00,3.00,2500,2509,350,7.17,61,4715749,2509,2539,11475,2
نيك گستر,صندوق س توسعه سرمايه نيكي-ثابت,6,790697,8964466438,11324,11337,11337,13.00,0.11,11337,13.00,0.11,11337,11338,,,6,49547852,11337,11338,25235692,10
آريان,سرمايه گذاري پارس آريان,193,20770048,94582242757,4430,4562,4486,56.00,1.26,4554,124.00,2.80,4430,4562,319,14.28,4,12442,4485,4486,91929,1
اردستان,سيمان اردستان,104,823514,25001885040,29480,30360,30360,880.00,2.99,30360,880.00,2.99,30360,30360,4747,6.4,162,3026890,30360,0,0,0
ضمان,صندوق تضمين ا.سرمايه كاريزما-م,47,310083,9124567286,28570,29420,29427,857.00,3.00,29426,856.00,3.00,29400,29427,,,10,101709,29427,32177,25,1
فزر,پويا زركان آق دره,5601,19064681,2429247917700,124150,124100,127850,"3,700.00",2.98,127400,"3,250.00",2.62,123500,127850,9302,13.7,430,3428558,127850,128500,25000,1
پيشرو07,مرابحه اورند پيشرو070403	,0,0,0,902500,0,902500,0,0,902500,0,0,0,0,,,1,5000,902500,911500,5000,1
كرمان532,مرابحه كرمان موتور-سپهر050327,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,10000,990000,1000000,10000,1
كي بي سي,شركت كي بي سي,47,1891662,10309557900,5300,5450,5450,150.00,2.83,5450,150.00,2.83,5450,5450,360,15.14,568,42927134,5450,0,0,0
ثروتم,صندوق س. ثروت آفرين پارسيان-س,4,355,130960210,358158,368902,368902,"10,744.00",3.00,368902,"10,744.00",3.00,368902,368902,,,14,11228,368902,0,0,0
غديس,پاكديس,141,2878853,106373618350,35900,36950,36950,"1,050.00",2.92,36950,"1,050.00",2.92,36950,36950,7299,5.06,624,23940716,36950,0,0,0
سيلام,سيمان‌ ايلام‌,8,9606,145530900,14710,15150,15150,440.00,2.99,15150,440.00,2.99,15150,15150,758,19.99,120,4108713,15150,0,0,0
امتياز,صندوق س.امتياز اول-س,90,6691163,68305053579,9913,10200,10210,297.00,3.00,10208,295.00,2.98,10011,10210,,,22,19676702,10210,10249,537,1
سمازن,سيمان‌مازندران‌,91,2275931,117255965120,50020,51520,51520,"1,500.00",3.00,51520,"1,500.00",3.00,51520,51520,9270,5.56,1474,88218756,51520,0,0,0
ولپارس,ليزينگ پارسيان,250,1053827,2685289430,2495,2423,2569,74.00,2.97,2548,53.00,2.12,2423,2569,266,9.58,2,16182,2569,2648,29,1
ولصنم,ليزينگ‌صنعت‌ومعدن‌,0,0,0,2579,0,2654,75.00,2.91,2579,0,0,0,0,379,6.8,44,8423207,2656,2656,4019746,17
مفاخر,توسعه فناوري اطلاعات خوارزمي,151,1863649,12532691110,6640,6590,6690,50.00,0.75,6720,80.00,1.20,6590,6800,84,80,3,39102,6670,6750,100000,1
قم0612,مشاركت ش قم0612-3 ماهه 20.5%,0,0,0,1009999,0,1009999,0,0,1009999,0,0,0,0,,,1,5000,1000000,1009999,3053,1
سصفها,سيمان‌اصفهان‌,43,391450,9473090000,23500,24200,24200,700.00,2.98,24200,700.00,2.98,24200,24200,1640,14.76,132,2444196,24200,24310,208,1
تكمبا,كمباين‌ سازي‌ ايران‌,82,652427,4616653600,6890,6950,7030,140.00,2.03,7080,190.00,2.76,6950,7090,510,13.88,1,1390,7020,7030,25000,1
شفارس,صنايع‌ شيميايي‌ فارس‌,61,3571299,5710507101,1553,1599,1599,46.00,2.96,1599,46.00,2.96,1599,1599,172,9.3,233,59959502,1599,1754,10000,1
اخزا405,اسناد خزانه-م5بودجه04-070420,0,0,0,499000,0,499000,0,0,499000,0,0,0,0,,,1,200,487000,0,0,0
بالاس,مهندسي ساختمان تاسيسات راه آهن,3079,12983424,892593392550,70500,68400,69000,"-1,500.00",-2.13,68750,"-1,750.00",-2.48,68400,70250,2250,30.56,2,26000,68950,69000,10708,2
اهداف062,اجاره اهداف كيميا14061104,0,0,0,999100,0,999100,0,0,999100,0,0,0,0,,,1,5000,999990,1000100,5000,1
مصفها512,مشاركت ش اصفهان512-3ماهه18%	,0,0,0,820990,0,820990,0,0,820990,0,0,0,0,,,1,7500,796361,812280,5500,1
لبخند,صندوق س. لبخند فارابي-د,3482,190411092,5337118509170,27994,28030,28029,35.00,0.13,28029,35.00,0.13,28029,28030,,,74,350618695,28029,28030,37608141,50
قشهد,شهد,12,173623,2380371330,13320,13710,13710,390.00,2.93,13710,390.00,2.93,13710,13710,2112,6.49,46,1114038,13710,0,0,0
پويا,ص.ج.پويا الگوريتم70%تاديه,0,0,0,653121,0,653121,0,0,653121,0,0,0,0,,,0,0,0,794640,1000,1
كلور083,مرابحه كلور-آواي زاگرس14080208,0,0,0,953780,0,1000000,"46,220.00",4.85,953780,0,0,0,0,,,1,5000,1000000,1001460,5000,1
وملت,سرمايه گذاري ملت,6,402114,1390108098,3423,3457,3457,34.00,0.99,3457,34.00,0.99,3457,3457,292,11.84,20,2031801,3457,0,0,0
دريا,صندوق س درياي آبي فيروزه-سهام,74,7468425,236140459785,31060,31438,31750,690.00,2.22,31619,559.00,1.80,31438,31943,,,1,1222,31750,31878,11765,1
ولراز,ليزينگ رازي,11,1333518,2539018272,1849,1904,1904,55.00,2.97,1904,55.00,2.97,1904,1904,277,6.87,33,15460258,1904,2839,575000,2
ثمين,صندوق س. ثروت افزون ثمين-س,19,56347,2747220500,47349,48769,48600,"1,251.00",2.64,48755,"1,406.00",2.97,47928,48769,,,2,10258,48105,48400,464701,1
زپارس,ملي كشت و صنعت و دامپروري پارس,181,990850,27563927350,27010,27820,27820,810.00,3.00,27820,810.00,3.00,27650,27820,956,29.1,21,125105,27820,27940,500,1
جام طلا,صندوق س.مبتني بر كالاي فارابي,0,0,0,16128,0,16165,37.00,0.23,16128,0,0,0,0,,,2,2790,16080,16199,315,1
طب نوين08,مرابحه طب پلاستيك نوين 080514,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
سهامدار2,صندوق س. بازده سهام-س,2,342000,342000,13336,1,1,"-13,335.00",-99.99,1,"-13,335.00",-99.99,1,1,,,0,0,0,0,0,0
صقرن612,صكوك مرابحه قرن612-3ماهه18%,0,0,0,820340,0,820340,0,0,820340,0,0,0,0,,,1,6250,820340,0,0,0
آبين,كشت و صنعت آبشيرين,65,1349071,9672654600,6970,7170,7170,200.00,2.87,7170,200.00,2.87,7160,7170,251,28.57,67,4089006,7170,0,0,0
زاگرس,پتروشيمي زاگرس,52,276596,26553216000,93250,96000,96000,"2,750.00",2.95,96000,"2,750.00",2.95,96000,96000,6744,14.23,744,6306749,96000,0,0,0
شاملا,معدني‌ املاح‌  ايران‌,108,3224389,88187039150,26560,27350,27350,790.00,2.97,27350,790.00,2.97,27350,27350,3009,9.09,469,23878007,27350,0,0,0
تملي1403,امتيازتسهيلات ملي سال 1403,0,0,0,1252460,0,1252460,0,0,1252460,0,0,0,0,,,0,0,0,1250000,10,1
تابان23,اجاره تابان فردا نوين14080418,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,100000,1000000,0,0,0
شساخت,مهندسي و ساختمان صنايع نفت,57,1201199,15756188680,12780,13050,13160,380.00,2.97,13120,340.00,2.66,13040,13160,2981,4.4,6,136036,13160,0,0,0
درازي,پخش رازي,96,791910,10067186320,12370,12190,12740,370.00,2.99,12710,340.00,2.75,12190,12740,-930,-13.67,11,90838,12740,13480,500,1
تدبير05,اجاره ش. توسعه تدبير14050717,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,997000,1005000,5000,1
دزهراوي,داروسازي‌زهراوي‌,86,8193082,16730273444,1983,2042,2042,59.00,2.98,2042,59.00,2.98,2042,2042,301,6.78,349,97729101,2042,0,0,0
پوراطب071,مرابحه پوراطب گستر-آگاه070106,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
كاله071,مرابحه سوليكو كاله-تمدن070125,0,0,0,950000,0,950000,0,0,950000,0,0,0,0,,,1,5000,950000,0,0,0
آرمان سلولز06,مرابحه آرمان سلولز يزد060710	,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
صفولا006,صكوك اجاره فولاد006-بدون ضامن,0,0,0,960384,0,964000,"3,616.00",0.38,960384,0,0,0,0,,,1,7500,921637,0,0,0
صگل0711,صكوك مرابحه كگل0711-3ماهه23%,0,0,0,835000,0,835000,0,0,835000,0,0,0,0,,,1,10000,827000,835000,10000,1
سغرب,سيمان‌غرب‌,109,3276812,28475496280,8440,8690,8690,250.00,2.96,8690,250.00,2.96,8690,8690,1082,8.03,287,6167902,8690,12520,2236,1
ماديرا,صنايع ماديران,493,40803120,92129239238,2194,2259,2250,56.00,2.55,2258,64.00,2.92,2230,2259,274,8.24,8,172372,2249,2293,2000000,5
ونيكي,سرمايه‌گذاري‌ ملي‌ايران‌,342,17691578,92765811020,5100,5120,5250,150.00,2.94,5240,140.00,2.75,5120,5250,862,6.08,36,2644085,5250,5390,1500,1
آلتون,صندوق س. كالاي آسمان,0,0,0,56821,0,56752,-69.00,-0.12,56821,0,0,0,0,,,1,50,56501,57400,800,1
عپاكشو,سلف موازي گروه صنعتي پاكشو,0,0,0,1606096,0,1588846,"-17,250.00",-1.07,1606096,0,0,0,0,,,1,30000,2070861,2110207,30000,1
خشرق,الكتريك‌ خودرو شرق‌,137,12008856,20773446880,1680,1719,1730,50.00,2.98,1730,50.00,2.98,1719,1730,56,30.89,22,4158529,1730,1770,6000,1
خلنت,لنت‌ ترمزايران‌,87,5469229,22314454320,3962,4080,4080,118.00,2.98,4080,118.00,2.98,4080,4080,802,5.09,118,8029652,4080,0,0,0
چافست,افست‌,61,1174919,15353020280,12690,13050,13070,380.00,2.99,13070,380.00,2.99,13050,13070,2700,4.84,7,362378,13070,13240,762,1
شمواد,توليد مواداوليه الياف مصنوعي,20,583501,3273440610,5450,5610,5610,160.00,2.94,5610,160.00,2.94,5610,5610,1383,4.06,298,71080356,5610,0,0,0
صباايده01,مرابحه ايده پردازصبادانا050929,0,0,0,1043400,0,1043400,0,0,1043400,0,0,0,0,,,1,5000,1000000,1010000,5000,1
نيان07,مرابحه نيان الكترونيك070917,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
غدانه,پنبه و دانه هاي روغني خراسان,36,1215094,9404827560,7520,7740,7740,220.00,2.93,7740,220.00,2.93,7740,7740,1532,5.05,844,88827741,7740,0,0,0
رز ترنج,صندوق س.پشتوانه طلاي رز,0,0,0,22276,0,22245,-31.00,-0.14,22276,0,0,0,0,,,1,10000,22160,22940,500,1
كگهر,معدني و صنعتي گهرزمين,921,16485258,87308079420,5190,5050,5310,120.00,2.31,5300,110.00,2.12,5050,5340,752,7.05,13,521090,5290,5300,188056,1
شيلد,صندوق س مشترك پارس-مختلط,129,4224595,67180146130,15927,15900,15899,-28.00,-0.18,15902,-25.00,-0.16,15896,15920,,,1,233905,15899,15900,13836,2
جواهر,صندوق س.كالاي دناي زاگرس,0,0,0,66772,0,66612,-160.00,-0.24,66772,0,0,0,0,,,1,60,66501,69290,1600,1
مشهد052,مشاركت ش مشهد052-3ماهه18%,0,0,0,902700,0,902700,0,0,902700,0,0,0,0,,,1,10000,902500,0,0,0
اراد245,مرابحه عام دولت245-ش.خ070813,0,0,0,788100,0,788100,0,0,788100,0,0,0,0,,,0,0,0,811740,5000,1
زر,صندوق س.پشتوانه طلاي زرافشان,0,0,0,766549,0,767101,552.00,0.07,766549,0,0,0,0,,,1,14,765304,770700,100,1
اخزا202,اسنادخزانه-م2بودجه02-050923,2,1296,1089936000,840560,841000,841000,440.00,0.05,841000,440.00,0.05,841000,841000,,,1,650,839070,847000,5000,1
فسبزوار,پارس فولاد سبزوار,350,2636449,120241828740,44290,45600,45610,"1,320.00",2.98,45610,"1,320.00",2.98,45600,45610,13379,3.41,286,4544929,45610,45750,500,1
غويتا,ويتانا,72,4874389,17655036958,3517,3622,3622,105.00,2.99,3622,105.00,2.99,3622,3622,973,3.72,294,53457632,3622,0,0,0
ارفع,شركت آهن و فولاد ارفع,179,14479807,117141638630,7860,8090,8090,230.00,2.93,8090,230.00,2.93,8090,8090,1519,5.33,533,78937584,8090,0,0,0
كوچين,توليدي كوچين,442,4976084,44038343400,8600,8850,8850,250.00,2.91,8850,250.00,2.91,8850,8850,1525,5.8,1261,190730257,8850,0,0,0
خمهر,مهركام‌پارس‌,105,11382818,24199871068,2065,2126,2126,61.00,2.95,2126,61.00,2.95,2126,2126,-13,-163.54,28,5033535,2126,0,0,0
آكورد,صندوق س. آرمان آتي كوثر-د,210,2236328,253468615790,113198,113341,113341,143.00,0.13,113341,143.00,0.13,113341,113342,,,3,100870502,113341,113342,4982754,10
طبيعت061,مرابحه طبيعت سبز-كاردان060710,0,0,0,857380,0,857380,0,0,857380,0,0,0,0,,,1,5000,831660,0,0,0
فهامون,آلياژ گستر هامون,3678,12533105,58279172872,4519,4649,4653,134.00,2.97,4650,131.00,2.90,4521,4654,508,9.15,5,25338,4653,4654,53089,49
صصيكو081,صكوك اجاره تاصيكو081-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,995000,1005000,5000,1
بكهنوج,توليد برق ماهتاب كهنوج,67,6463150,5893166585,887,913,912,25.00,2.82,912,25.00,2.82,906,913,-702,-1.3,1,68300,908,912,176113,1
هم وزن,صندوق س. شاخصي كيان-س,449,34958690,930009092575,25840,26159,26615,775.00,3.00,26603,763.00,2.95,26159,26615,,,133,29521355,26615,0,0,0
مداران,داده‌پردازي‌ايران‌,0,0,0,3477,0,3490,13.00,0.37,3477,0,0,0,0,466,7.46,11,1030807,3581,3581,22204,3
داتام,گروه مالي داتام,157,2334536,9398809964,3910,3921,4027,117.00,2.99,4026,116.00,2.97,3921,4027,1416,2.84,46,4713838,4027,4134,1230,1
فرآور,فرآوري‌موادمعدني‌ايران‌,172,2556971,15236658320,5800,5960,5940,140.00,2.41,5960,160.00,2.76,5850,5970,301,19.8,1,10000,5930,5940,140000,1
بنكوداريوش2,صندوق س.بخشي داريوش3-ب,1,10000000,10000000,15687,1,1,"-15,686.00",-99.99,1,"-15,686.00",-99.99,1,1,,,0,0,0,0,0,0
دكيمي,كيميدارو,7,7864,183781680,22690,23370,23370,680.00,3.00,23370,680.00,3.00,23370,23370,1595,14.65,45,1725378,23370,0,0,0
پايدار06,اجاره پديده ش. پايدار14060510,0,0,0,950000,0,950000,0,0,950000,0,0,0,0,,,1,10000,968820,978500,5000,1
خچرخش,چرخشگر,54,122535,1800489460,14300,14690,14720,420.00,2.94,14690,390.00,2.73,14360,14720,2074,7.08,1,350,14680,14720,111048,8
صهمدا86,صكوك مرابحه كهمدا86-3ماهه23%,0,0,0,915950,0,915950,0,0,915950,0,0,0,0,,,1,5625,915950,925110,5625,1
بازده,صندوق س. بازده ثابت-د,15,262300,6252975035,23818,23840,23840,22.00,0.09,23839,21.00,0.09,23839,23840,,,11,4774287,23839,23840,998900,2
صمپنا711,صكوك اجاره مپنا711-3ماهه23%,0,0,0,830000,0,830000,0,0,830000,0,0,0,0,,,1,5625,830000,0,0,0
پرتو2,صندوق س.دينا-س,1,201795,201795,29034,1,1,"-29,033.00",-100.00,1,"-29,033.00",-100.00,1,1,,,0,0,0,0,0,0
حگردش,ريل گردش ايرانيان,76,7542504,16198034583,2087,2149,2149,62.00,2.97,2148,61.00,2.92,2087,2149,470,4.57,29,6245348,2149,2195,2546,1
خكاوه,سايپا ديزل,795,196308640,104030264860,515,527,530,15.00,2.91,530,15.00,2.91,527,530,1,530,3,646349,529,530,865133,2
سوين09,مرابحه سوين جوجه زرين14090208,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,970000,0,0,0
فپرديس09,مرابحه پرديس آذربايجان090228,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
ملت,بيمه ملت,204,4907676,10701117630,2127,2154,2190,63.00,2.96,2180,53.00,2.49,2100,2190,154,14.16,1,18411,2190,2250,2258,1
طبيعت072,مرابحه طبيعت سبز-مفيد070311,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,990100,1000000,5000,1
امين,تامين سرمايه امين,347,5087415,10676773241,2072,2093,2110,38.00,1.83,2099,27.00,1.30,2072,2110,384,5.47,1,172241,2110,2112,989,4
سامان07,اجاره توسعه س. سامان14070524,0,0,0,1026130,0,1026130,0,0,1026130,0,0,0,0,,,1,5000,1026130,1036390,5000,1
قشكر,شكر,7,418553,1148509432,2665,2744,2744,79.00,2.96,2744,79.00,2.96,2744,2744,87,31.54,372,90209696,2744,0,0,0
پيروز,صندوق س.سهامي امين نهايت نگر-س,39,3032304,54845891078,17562,17999,18088,526.00,3.00,18087,525.00,2.99,17950,18088,,,4,29739,18088,0,0,0
وسرمدح,ح. بيمه سرمد,0,0,0,95,0,89,-6.00,-6.32,95,0,0,0,0,,,1,50000,92,98,10000000,1
كليد,صندوق س خانه آگاه-املاك	,1645,27747792,417407546111,14639,14905,15078,439.00,3.00,15043,404.00,2.76,14905,15078,,,40,2260843,15078,15099,5099,10
وثوق,سرمايه گذاري وثوق امين,62,479388,17628057950,35750,36700,36800,"1,050.00",2.94,36750,"1,000.00",2.80,36700,36800,-558,-65.86,41,1437241,36800,0,0,0
آسان,صندوق س.درآمدثابت گنجينه مهر-د,7,841273,11442178866,13587,13601,13602,15.00,0.11,13601,14.00,0.10,13601,13602,,,1,299201627,13601,13602,49979277,1
اوانح,ح . مبين وان كيش,93,821058,5739811570,6950,7120,7050,100.00,1.44,6990,40.00,0.58,6870,7130,,,2,1918,6980,7090,56039,5
زعف0510پ18,زعفران0510نگين بهرامن(پ),0,0,0,2488806,0,2450003,"-38,803.00",-1.56,2488806,0,0,0,0,,,0,0,0,2843668,84,1
حآسا,آسيا سير ارس,78,2946852,9275131269,3058,3060,3149,91.00,2.98,3147,89.00,2.91,3060,3149,197,15.97,21,3245007,3149,0,0,0
شتران,پالايش نفت تهران,2873,344288057,1524813570135,4300,4429,4429,129.00,3.00,4429,129.00,3.00,4398,4429,842,5.26,1685,464419370,4429,4430,100000,1
بشهاب,لامپ‌  پارس‌ شهاب‌,38,1229016,9930449280,7850,8080,8080,230.00,2.93,8080,230.00,2.93,8080,8080,1011,7.99,24,1357267,8080,0,0,0
