 , , , , , , , , , , , , , , , , , , , , , , 
دیده بان بازار : 1405/03/17 - زمان آخرین معامله : 10:26:05,,,,,,,,,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
صكورش505,صكوك مرابحه غكورش505-بدون ضامن,0,0,0,986100,0,986100,0,0,986100,0,0,0,0,,,1,15000,986100,995950,15000,1
عدرپاد4,سلف موازي ميلگرد تبريز,0,0,0,3939052,0,3939052,0,0,3939052,0,0,0,0,,,1,4934,3948787,4023814,5000,1
زعف0510پ08,زعفران0510نگين روستا(پ),0,0,0,2519004,0,2530000,"10,996.00",0.44,2519004,0,0,0,0,,,0,0,0,2559997,100,1
ثجنوب,سرمايه گذاري مسكن جنوب,32,255761,3299316900,12530,12900,12900,370.00,2.95,12900,370.00,2.95,12900,12900,3595,3.59,49,1900926,12900,0,0,0
عاليس071,مرابحه عاليس-پارسيان070224,0,0,0,852100,0,852100,0,0,852100,0,0,0,0,,,1,100000,850000,858500,50000,1
عاليس2,بهار رز عاليس چناران,1,30000000,129810000000,4201,4327,4327,126.00,3.00,4327,126.00,3.00,4327,4327,671,6.45,0,0,0,0,0,0
شپارس,بين‌ المللي‌ محصولات‌  پارس‌,382,48258847,62139889039,1251,1287,1288,37.00,2.96,1288,37.00,2.96,1270,1288,219,5.88,6,931498,1288,1313,145000,1
طسپا5021,اختيارف خساپا-340-1405/05/28,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
وبرق,س.کارکنان صنعت برق زنجان وقزوي,61,261055,7103568650,26500,26900,27250,750.00,2.83,27200,700.00,2.64,26900,27250,2609,10.43,17,252592,27250,28750,20000,1
طملت3058,اختيارف وبملت-703-1405/03/20,1,1000,1422000,1,1,1,0,0,1,0,0,1,1,,,0,0,0,1,13000,13
بازبيمه,صندوق س.بخشي بازده صنايع1-ب,23,3033944,54676696756,18201,17801,18009,-192.00,-1.05,18022,-179.00,-0.98,17801,18745,,,1,5000,18010,18206,60,1
پوراطب072,مرابحه پوراطب گستر-كيميا070106,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
ضجار4027,اختيارخ وتجارت-400-1405/04/17,1,9,1359000,135,151,151,16.00,11.85,151,16.00,11.85,151,151,,,1,450,153,155,9,1
كگاز,شيشه‌ و گاز,45,333688,11905987840,34650,35680,35680,"1,030.00",2.97,35680,"1,030.00",2.97,35680,35680,4499,7.93,24,628575,35680,0,0,0
صزاگرس71,صكوك مرابحه انديمشك71-6ماهه23%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,6250,950000,0,0,0
ساحل,ص.ساحل سرمايه امن خليج فارس-د,57,2436864,67274547806,27583,27607,27608,25.00,0.09,27607,24.00,0.09,27607,27608,,,1,147645710,27607,27608,32662064,4
پاكشو,گروه صنعتي پاكشو,134,9627745,62098955250,6270,6450,6450,180.00,2.87,6450,180.00,2.87,6450,6450,650,9.92,95,15167042,6450,9040,300000,3
دشيري,شيرين دارو,122,122972,42946519600,339150,349300,349300,"10,150.00",2.99,349250,"10,100.00",2.98,345000,349300,50854,6.87,14,39391,349300,0,0,0
ضذوب4013,اختيارخ ذوب-340-1405/04/17,0,0,0,80,0,78,-2.00,-2.50,80,0,0,0,0,,,1,565,78,89,150,1
ضستا5045,اختيارخ شستا-1800-1405/05/14,2,1548,346040000,188,220,230,42.00,22.34,224,36.00,19.15,220,230,,,1,2,174,219,1,1
ثنور,سرمايه گذاري كوه نور,17,664343,2695903894,3979,4058,4058,79.00,1.99,4012,33.00,0.83,4058,4058,78,51.44,24,6943424,4058,0,0,0
صگل59,صكوك اجاره كگل59-بدون ضامن,0,0,0,995000,0,995000,0,0,995000,0,0,0,0,,,1,10000,995000,1004950,5000,1
صقرن512,صكوك مرابحه قرن512-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,7500,1000000,0,0,0
صعبيد071,صكوك مرابحه دعبيد071-3ماهه23%,0,0,0,1005000,0,1000000,"-5,000.00",-0.50,1005000,0,0,0,0,,,1,2995,1000000,1010000,2995,1
حبندر,دريايي و کشتيراني خط دريابندر,64,2550343,16703213720,6360,6500,6550,190.00,2.99,6550,190.00,2.99,6480,6550,671,9.76,18,2023416,6550,0,0,0
طذوب5023,اختيارف ذوب-340-1405/05/20,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
وتجارت,بانك تجارت,7156,1364458148,716340527700,510,525,525,15.00,2.94,525,15.00,2.94,525,525,113,4.65,9999,8066157395,525,750,2260301,7
طمخا3061,اختيارف اخابر-300-1405/03/20,0,0,0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,10,10,1
غگلستا,شير پاستوريزه پگاه گلستان,316,5837667,65138023460,10860,10960,11180,320.00,2.95,11160,300.00,2.76,10960,11180,1571,7.1,44,1991448,11180,11280,5684,3
سپر4,صندوق س سپر سرمايه بيدار- ثابت,1,23440764,999631380780,42603,42645,42645,42.00,0.10,42645,42.00,0.10,42645,42645,,,0,0,0,0,0,0
وكبهمن,مديريت سرمايه گذاري كوثربهمن,267,5068255,12285408777,2358,2303,2428,70.00,2.97,2424,66.00,2.80,2303,2428,582,4.16,32,3603544,2428,2440,184,1
